Vattentemperatur,E. coli,E. coli prefix,Intestinala enterokocker prefix,Intestinala enterokocker,Eu-bad,Län,Kommun,Badplats,Latitud,Longitud,Badplatstyp,Datum,Vädertyp,Kvalitet,Algblomning
11,1,<,<,1,N,Blekinge,Olofström,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411060000000273""  target = ""_blank"">Orlunden</a>","56,2526959433047","14,6194514971947",Sjö,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,<,<,1,N,Blekinge,Olofström,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411060000000274""  target = ""_blank"">Södersjön</a>","56,351794514145","14,5948611542484",Sjö,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
11,1,<,<,1,N,Blekinge,Olofström,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411060000000275""  target = ""_blank"">Slagesnässjön</a>","56,3551839361323","14,53861762718",Sjö,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,<,<,1,N,Blekinge,Olofström,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411060000000276""  target = ""_blank"">Halen</a>","56,2695359022493","14,507554638801",Sjö,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,<,=,2,N,Blekinge,Olofström,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411060000000277""  target = ""_blank"">Abborrsjön</a>","56,3265640613329","14,6913587234465",Sjö,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,=,<,1,N,Blekinge,Olofström,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411060000000278""  target = ""_blank"">Stora Oredssjön</a>","56,2609327418205","14,5441562062522",Sjö,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
15,1,=,<,10,N,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000684""  target = ""_blank"">Tovhultsbadet</a>","56,589086236752","13,764239848444",Sjö,2023-05-23 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
0,3,=,<,10,N,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000688""  target = ""_blank"">Lokasjön</a>","56,4540950483227","13,5774693437042",Sjö,2023-05-23 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
18,1,<,<,10,N,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000689""  target = ""_blank"">Hinnerydssjön</a>","56,6134696616075","13,6084874103465",Sjö,2023-05-23 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
17,27,=,<,10,N,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000690""  target = ""_blank"">Getesjön</a>","56,4624954601477","13,6052110365596",Sjö,2023-05-23 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
